,dx,dy,ecc,ep,frame,mass,particle,raw_mass,signal,size,v,x,y
0,,,0.15758960073655573,0.0,0,2791.6840713697866,0,5577.166666666665,136.405042225777,2.2358938560248722,,174.6789955226786,167.06813315164493
1,-0.22999572073763375,-0.25985428454254134,0.1537996310902184,0.0,1,2666.104804689153,0,5319.199999999999,130.42738894003185,2.278665247455705,0.3470191360036787,174.44899980194097,166.8082788671024
2,-0.21931571690222995,-0.24380439859453418,0.12456148660142899,0.0,2,2537.5514588083347,0,5025.9,126.0456715084609,2.2440950618306887,0.32793287187225006,174.22968408503874,166.56447446850785
3,-0.18502506270922936,-0.2566893146152722,0.13764167687046341,0.0,3,2370.210408461872,0,4672.033333333333,121.58592922103747,2.174540418336638,0.3164232577864852,174.0446590223295,166.30778515389258
4,-0.22915262898669653,-0.2777465908724821,0.11661399171798269,0.0,4,2251.9373227605347,0,4449.666666666667,115.17925823739694,2.1719749393121925,0.36007512565130145,173.81550639334282,166.0300385630201
5,-0.2279759303046376,-0.3046120804855832,0.12034868679262145,0.0,5,2116.8610744537314,0,4181.933333333333,107.90660635416056,2.2185156153016194,0.38047541888539976,173.58753046303818,165.72542648253452
6,-0.21462110933180156,-0.29738601175193935,0.08004568277152836,0.0,6,1978.735354992684,0,3883.5333333333338,104.18697409108702,2.2600864839032773,0.3667433169896048,173.37290935370638,165.42804047078258
7,-0.27532820836836436,-0.3403828317501052,0.11011475187585364,0.0,7,1859.676062133157,0,3672.6666666666674,97.27063132513722,2.1753786037066156,0.4377968643943831,173.097581145338,165.08765763903247
8,-0.2358279835412418,-0.33994721600586786,0.10121609730207963,0.0,8,1732.2069436950983,0,3422.5666666666675,87.63018118998316,2.185319531923665,0.41373777624392527,172.86175316179677,164.7477104230266
9,-0.2582054899564241,-0.34061507934589486,0.1086560697882493,0.0,9,1643.6532229994252,0,3272.400000000001,82.36488434542574,2.3024136568935893,0.42742099541488043,172.60354767184035,164.4070953436807
10,-0.28538643995628377,-0.318780126289397,0.12504166208084352,0.0,10,1540.8666894895812,0,3073.2333333333336,78.85776082985628,2.225866953717624,0.4278623482242922,172.31816123188406,164.0883152173913
11,-0.29963074276534485,-0.39643846669102345,0.11599105434805879,0.0,11,1455.1251556612292,0,2867.6333333333337,72.11350696015573,2.2616025155573536,0.4969326311306614,172.01853048911872,163.6918767507003
12,-0.24939519743480787,-0.37454121077476543,0.12099056902032089,0.0,12,1391.3603201748545,0,2767.100000000001,63.609977401456945,2.2998264041987455,0.4499767583688896,171.7691352916839,163.31733553992552
13,-0.3390933549702311,-0.40864320290683054,0.12039359842306867,0.0,13,1336.693239401014,0,2666.166666666668,57.5853358948969,2.352997941725166,0.5310118366542503,171.43004193671368,162.9086923370187
14,-0.4363548525983276,-0.3459897265426548,0.12518539007393686,0.0,14,1294.5259400422667,0,2557.5666666666675,53.67169483539854,2.333702979308238,0.5568792043694658,170.99368708411535,162.56270261047604
15,-0.38249439362749627,-0.4894443301693059,0.16125808976589798,0.0,15,1297.856475432783,0,2578.433333333334,47.64524505994064,2.371170732882193,0.621174463006446,170.61119269048785,162.07325828030673
16,-0.41151619875529377,-0.44978595823627643,0.18158351395741504,0.0,16,1307.6269150554717,0,2597.0000000000005,55.46368654800348,2.38653363164696,0.6096334883063199,170.19967649173256,161.62347232207046
17,-0.49068987605377856,-0.47739201614311355,0.2001812230168586,0.0,17,1335.454876379196,0,2644.333333333333,63.0702398595911,2.323296267145686,0.684601848915747,169.70898661567878,161.14608030592734
18,-0.39606284333441977,-0.3667501230631558,0.1366103320809888,0.0,18,1402.1041297631762,0,2759.566666666666,72.02096413412657,2.2713498637177683,0.539788318359137,169.31292377234436,160.7793301828642
19,-0.41241680149519766,-0.37987940128411424,0.13302993680560735,0.0,19,1472.9493531220176,0,2913.5999999999995,79.03023567659325,2.2136611603846132,0.5607102439544924,168.90050697084916,160.39945078158007
20,-0.2918731947580966,-0.3218891117508633,0.15636709673587643,0.0,20,1566.1352713733331,0,3063.4333333333334,83.58169735744781,2.1738374502161033,0.4345141678726455,168.60863377609107,160.0775616698292
21,-0.31651227632838186,-0.19597647761278836,0.10477369185356533,0.0,21,1685.6344258350086,0,3274.6666666666656,89.60182994471806,2.1518085460803285,0.372272481986098,168.2921214997627,159.88158519221642
22,-0.2263474805002943,-0.22384499959250093,0.09204590587021143,0.0,22,1767.7776813482383,0,3424.599999999999,96.75644814520543,2.1282025157044147,0.3183390735856939,168.0657740192624,159.65774019262392
23,-0.30130564779537394,-0.2467935797930636,0.10900146549864095,0.0,23,1870.5703575921768,0,3629.7333333333327,103.64084305187701,2.1274973449792305,0.38947678290299304,167.76446837146702,159.41094661283086
24,-0.2729684790633087,-0.21275423064881238,0.12826606435726054,0.0,24,2007.7837036631056,0,3912.9666666666667,107.15092715912421,2.1598982194735576,0.346086915703417,167.4914998924037,159.19819238218204
25,-0.23844915380382758,-0.20632768511504196,0.12390069452378868,0.0,25,2134.902915682208,0,4147.5666666666675,109.69314916800042,2.1204370961932444,0.31532382180021434,167.25305073859988,158.991864697067
26,-0.2883768255564121,-0.20967406161548752,0.13399484342911538,0.0,26,2288.5323917009664,0,4452.833333333334,119.5930388639719,2.1338469194357135,0.35654509621130476,166.96467391304347,158.7821906354515
27,-0.24095337789799487,-0.1996890427566882,0.10321751921744965,0.0,27,2388.104716648682,0,4637.200000000001,127.29120490100216,2.2033006765555756,0.31294447449593416,166.72372053514547,158.58250159269483
